GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;4575;100;0;
2;12495;100;0;
3;10364;643;0;
4;37338;625;0;
5;11230;668;0;
6;10392;596;0;
7;30936;579;0;
8;26639;621;0;
9;38783;663;0;
10;17875;639;0;
11;12102;651;0;
12;29333;658;0;
13;8127;653;0;
14;25996;643;0;
15;9280;657;0;
16;23834;627;0;
17;53390;637;0;
18;87004;681;0;
19;30416;638;0;
20;45049;647;0;
21;11728;584;0;
22;48974;627;0;
23;25779;634;0;
24;39487;661;0;
25;25962;642;0;
26;25884;673;0;
27;13449;661;0;
28;15497;670;0;
29;11266;629;0;
30;17235;638;0;
31;17825;671;0;
32;22422;647;0;
33;17795;640;0;
34;14962;610;0;
35;23926;594;0;
36;10583;622;0;
37;33260;602;0;
38;6301;631;0;
39;12228;660;0;
40;12494;670;0;
41;56726;662;0;
42;11999;674;0;
43;34195;649;0;
44;10042;646;0;
45;20890;657;0;
46;16106;598;0;
47;10633;658;0;
48;32898;640;0;
49;28336;630;0;
50;33609;570;0;
51;19418;643;0;
52;43308;661;0;
53;16925;669;0;
54;14115;611;0;
55;28666;660;0;
56;16971;626;0;
57;9690;659;0;
58;33513;658;0;
59;52639;653;0;
60;19954;650;0;
61;57601;649;0;
62;9999;638;0;
63;11588;656;0;
64;28688;628;0;
65;19180;673;0;
66;23124;670;0;
67;20078;662;0;
68;64797;726;0;
69;14605;656;0;
70;8981;678;0;
71;24142;623;0;
72;22534;613;0;
73;12837;630;0;
74;8603;640;0;
75;17154;603;0;
76;19568;650;0;
77;22272;689;0;
78;31147;673;0;
79;25034;652;0;
80;21267;661;0;
81;28907;639;0;
82;18953;644;0;
83;34421;631;0;
84;25756;613;0;
85;44524;704;0;
86;9863;635;0;
87;11083;662;0;
88;31844;637;0;
89;15903;647;0;
90;12180;616;0;
91;12363;601;0;
92;19949;619;0;
93;17883;644;0;
94;46876;649;0;
95;33003;620;0;
96;9937;649;0;
97;9999;618;0;
98;16847;659;0;
99;22216;648;0;
100;13571;644;0;
101;119570;693;0;
